Names_mpio,Names_depto,URL_mpio,URL_depto,Porc_escrutado,Num_mesas,Total_mesas,Votacion,Num_Votos,Num_Personas_Habilitadas,Porc_SI,Votos_SI,Porc_NO,Votos_NO,Votos_Válidos,Votos_no_marcados,Votos_nulos,Porc_Mesas_Inscritas,Porc_Abstensionismo
ANDES,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01019ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,76.0,76.0,26.09,9093.0,34842.0,35.78,3193.0,64.21,5729.0,8922.0,78.0,93.0,1.0,0.7390218701567074
ANGELOPOLIS,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01022ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,14.0,14.0,27.98,1589.0,5679.0,35.51,553.0,64.48,1004.0,1557.0,9.0,23.0,1.0,0.7201972178200388
ANGOSTURA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01025ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,23.0,23.0,21.13,1935.0,9154.0,39.29,705.0,60.7,1089.0,1794.0,57.0,84.0,1.0,0.7886169980336465
ANORI,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01028ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,30.0,30.0,26.77,2984.0,11144.0,64.92,1764.0,35.07,953.0,2717.0,227.0,40.0,1.0,0.7322325915290739
ANTIOQUIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01031ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,48.0,48.0,27.84,5495.0,19732.0,38.21,2041.0,61.78,3300.0,5341.0,52.0,102.0,1.0,0.7215183458341781
ANZA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01034ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,14.0,14.0,20.12,1150.0,5715.0,32.91,363.0,67.08,740.0,1103.0,31.0,16.0,1.0,0.7987751531058618
APARTADO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01035ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,201.0,201.0,31.34,27961.0,89196.0,52.32,14195.0,47.67,12936.0,27131.0,352.0,478.0,1.0,0.686521817121844
ARBOLETES,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01037ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,52.0,52.0,27.34,5866.0,21448.0,65.58,3691.0,34.41,1937.0,5628.0,181.0,57.0,1.0,0.7265013054830287
ARGELIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01039ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,19.0,19.0,31.16,2065.0,6627.0,32.48,650.0,67.51,1351.0,2001.0,41.0,23.0,1.0,0.6883959559378301
ARMENIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01040ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,12.0,12.0,21.18,1026.0,4844.0,30.8,301.0,69.19,676.0,977.0,23.0,26.0,1.0,0.7881915772089183
