Names_mpio,Names_depto,URL_mpio,URL_depto, Mesas instaladas,Mesas informadas,Potencial sufragantes,Total sufragantes,Votos por candidatos,Votos en blanco,Votos válidos,Votos nulos,Votos no marcados,Votos_Santos,Porc_Votos_Santos,Votos_Zuluaga,Porc_Votos_Zuluaga
EL ENCANTO,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6001099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,2,2,746,249,230,2,232,15,2,110,47.41,120,51.72
LA CHORRERA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6001399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,3,3,1038,493,484,0,484,6,3,337,69.62,147,30.37
LA PEDRERA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6001699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,3,3,1042,187,179,3,182,4,1,116,63.73,63,34.61
LA VICTORIA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6001799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,1,1,23,6,5,1,6,0,0,2,33.33,3,50.00
LETICIA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6000199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,83,83,31335,12662,12000,384,12384,216,62,4893,39.51,7107,57.38
MIRITI PARANA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6001999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,2,2,459,75,72,2,74,1,0,63,85.13,9,12.16
PUERTO ALEGRIA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6003099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,1,1,277,62,60,2,62,0,0,38,61.29,22,35.48
PUERTO ARICA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6004099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,2,2,403,119,118,0,118,1,0,71,60.16,47,39.83
PUERTO NARIÑO,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6000799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,11,11,4014,1788,1723,24,1747,32,9,930,53.23,793,45.39
PUERTO SANTANDER,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6002199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,2,2,654,179,177,2,179,0,0,106,59.21,71,39.66
TARAPACA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6002299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,4,4,1322,435,419,6,425,3,7,301,70.82,118,27.76
ABEJORRAL,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0100499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,41,41,14939,6933,6562,186,6748,132,53,1262,18.70,5300,78.54
ABRIAQUI,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0100799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,6,6,1903,875,822,30,852,17,6,308,36.15,514,60.32
ALEJANDRIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0101099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,12,12,4377,2206,2079,84,2163,26,17,1120,51.77,959,44.33
AMAGA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0101399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,55,55,20893,9157,8200,530,8730,381,46,3496,40.04,4704,53.88
AMALFI,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0101699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,42,42,15588,4945,4432,319,4751,143,51,889,18.71,3543,74.57
ANDES,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0101999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,79,79,32918,14097,13153,563,13716,304,77,2829,20.62,10324,75.26
ANGELOPOLIS,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0102299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,15,15,5466,2353,2154,116,2270,67,16,594,26.16,1560,68.72
ANGOSTURA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0102599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,24,24,8632,3728,3379,129,3508,158,62,1220,34.77,2159,61.54
ANORI,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0102899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,30,30,10215,2445,2242,119,2361,46,38,1251,52.98,991,41.97
ANTIOQUIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0103199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,51,51,18537,8820,7994,462,8456,291,73,3274,38.71,4720,55.81
ANZA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0103499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,14,14,5322,2480,2338,80,2418,38,24,574,23.73,1764,72.95
APARTADO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0103599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,206,206,82208,38086,35781,1661,37442,521,123,22550,60.22,13231,35.33
ARBOLETES,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0103799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,59,59,21371,10394,10116,118,10234,94,66,6917,67.58,3199,31.25
ARGELIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0103999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,21,21,6489,2968,2875,45,2920,36,12,353,12.08,2522,86.36
ARMENIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0104099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,13,13,4831,1969,1809,81,1890,50,29,692,36.61,1117,59.10
BARBOSA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0104399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,75,75,35505,16340,14645,919,15564,692,84,6173,39.66,8472,54.43
BELLO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0104999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,695,695,296790,130734,114180,10039,124219,6196,319,48844,39.32,65336,52.59
BELMIRA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0104699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,14,14,4470,2061,1863,104,1967,82,12,818,41.58,1045,53.12
BETANIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0105299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,22,22,8241,3386,3192,102,3294,58,34,477,14.48,2715,82.42
BETULIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0105599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,36,36,12791,5847,5565,145,5710,80,57,937,16.40,4628,81.05
BOLIVAR,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0105899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,63,63,23204,9701,9032,398,9430,217,54,1907,20.22,7125,75.55
BRICEÑO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0106299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,19,19,5819,1289,1159,67,1226,48,15,365,29.77,794,64.76
BURITICA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0106199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,19,19,6429,2195,2025,89,2114,57,24,752,35.57,1273,60.21
CACERES,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0106499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,53,53,19416,7818,7453,191,7644,128,46,4985,65.21,2468,32.28
CAICEDO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0106799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,16,16,5784,2882,2704,82,2786,67,29,409,14.68,2295,82.37
CALDAS,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0107099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,121,121,56075,29183,24932,2373,27305,1762,116,13228,48.44,11704,42.86
CAMPAMENTO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0107399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,17,17,5911,1645,1529,73,1602,30,13,947,59.11,582,36.32
CAÑASGORDAS,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0107699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,35,35,12735,7036,6713,145,6858,125,53,2608,38.02,4105,59.85
CARACOLI,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0107899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,14,14,4639,1750,1642,59,1701,33,16,804,47.26,838,49.26
CARAMANTA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0107999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,15,15,5141,2613,2476,54,2530,57,26,1102,43.55,1374,54.30
CAREPA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0108099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,102,102,38452,16677,15862,569,16431,183,63,9669,58.84,6193,37.69
CARMEN DE VIBORAL,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0108299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,83,83,30575,18059,15708,1254,16962,990,107,5484,32.33,10224,60.27
CAROLINA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0108599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,12,12,4034,1488,1309,92,1401,77,10,571,40.75,738,52.67
CAUCASIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0108899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,166,166,60554,25846,23976,1079,25055,687,104,13106,52.30,10870,43.38
CHIGORODO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0110699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,89,89,41610,18739,17757,667,18424,241,74,12313,66.83,5444,29.54
CISNEROS,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0109199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,29,29,11126,4855,4450,203,4653,153,49,2189,47.04,2261,48.59
COCORNA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0109499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,36,36,12475,6518,6235,122,6357,101,60,2565,40.34,3670,57.73
CONCEPCION,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0109799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,12,12,4452,2148,2006,68,2074,50,24,520,25.07,1486,71.64
CONCORDIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0110099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,41,41,15381,6698,6261,202,6463,118,117,1138,17.60,5123,79.26
COPACABANA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0110399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,126,126,56567,26678,23213,2029,25242,1362,74,11265,44.62,11948,47.33
DABEIBA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0110999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,43,43,15863,5951,5636,149,5785,104,62,3402,58.80,2234,38.61
DON MATIAS,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0111299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,42,42,15845,7452,6802,410,7212,188,52,960,13.31,5842,81.00
EBEJICO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0111599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,31,31,11122,5397,5122,115,5237,122,38,1450,27.68,3672,70.11
EL BAGRE,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0111799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,89,89,33331,10229,9472,444,9916,268,45,4116,41.50,5356,54.01
ENTRERRIOS,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0111899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,19,19,7480,3544,3144,274,3418,108,18,763,22.32,2381,69.66
ENVIGADO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0112199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,546,546,225101,112797,99714,8344,108058,4552,187,29306,27.12,70408,65.15
FREDONIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0112499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,51,51,17648,7264,6679,326,7005,218,41,2240,31.97,4439,63.36
FRONTINO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0112799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,48,48,16096,5731,5278,229,5507,159,65,3239,58.81,2039,37.02
GIRALDO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0113099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,11,11,3669,2031,1920,61,1981,41,9,866,43.71,1054,53.20
GIRARDOTA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0113399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,113,113,42867,19567,17025,1452,18477,1011,79,9765,52.84,7260,39.29
GOMEZ PLATA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0113699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,22,22,7944,3117,2747,221,2968,126,23,1080,36.38,1667,56.16
GRANADA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0113999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,27,27,10006,4546,4311,127,4438,67,41,1008,22.71,3303,74.42
GUADALUPE,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0114099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,17,17,5501,1887,1716,91,1807,62,18,1052,58.21,664,36.74
GUARNE,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0114299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,78,78,28996,16866,14715,1135,15850,918,98,4115,25.96,10600,66.87
GUATAPE,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0114599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,16,16,6122,3644,3311,197,3508,118,18,1147,32.69,2164,61.68
HELICONIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0114899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,16,16,5801,2622,2407,106,2513,78,31,1169,46.51,1238,49.26
HISPANIA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0115099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,14,14,5104,2138,2005,89,2094,34,10,909,43.40,1096,52.34
ITAGUI,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0115199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,550,550,231363,109311,96147,8053,104200,4810,301,44781,42.97,51366,49.29
ITUANGO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0115499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,54,54,16942,4409,3833,302,4135,200,74,2223,53.76,1610,38.93
JARDIN,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0115799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,30,30,11441,6066,5613,295,5908,93,65,1365,23.10,4248,71.90
JERICO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0116099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,29,29,10975,5194,4834,211,5045,117,32,1024,20.29,3810,75.52
LA CEJA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0116399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,96,96,41178,24750,21610,1808,23418,1216,116,6685,28.54,14925,63.73
LA ESTRELLA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0116699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,110,110,48196,23017,19979,1728,21707,1262,48,8534,39.31,11445,52.72
LA PINTADA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0117099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,16,16,6109,3141,2961,82,3043,68,30,929,30.52,2032,66.77
LA UNION,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0116999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,40,40,15294,8929,8172,455,8627,269,33,2107,24.42,6065,70.30
LIBORINA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0117299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,25,25,8849,4210,4006,111,4117,69,24,1114,27.05,2892,70.24
MACEO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0117599_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,20,20,7253,2813,2676,90,2766,31,16,1230,44.46,1446,52.27
MARINILLA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0117899_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,79,79,36465,20139,18320,1049,19369,695,75,6130,31.64,12190,62.93
MEDELLIN,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0100199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,3918,3918,1412495,739244,656908,53449,710357,27384,1503,208540,29.35,448368,63.11
MONTEBELLO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0118199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,16,16,5911,2775,2525,135,2660,71,44,746,28.04,1779,66.87
MURINDO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0118499_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,9,9,2508,1132,1108,3,1111,6,15,1060,95.40,48,4.32
MUTATA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0118799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,33,33,12039,4535,4371,102,4473,44,18,3279,73.30,1092,24.41
NARIÑO,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0119099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,27,27,8867,3966,3820,60,3880,46,40,554,14.27,3266,84.17
NECHI,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0119199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,47,47,17285,6053,5847,97,5944,68,41,2489,41.87,3358,56.49
NECOCLI,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0119299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,82,82,30732,13411,12967,192,13159,160,92,8782,66.73,4185,31.80
OLAYA,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0119399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,9,9,2769,1311,1244,40,1284,19,8,298,23.20,946,73.67
PEÑOL,ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0119699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,38,38,14621,6900,6492,253,6745,129,26,2035,30.17,4457,66.07
