Names_depto,URL_depto,Porc_escrutado,Num_mesas,Total_mesas,Votacion,Num_Votos,Num_Personas_Habilitadas,Porc_SI,Votos_SI,Porc_NO,Votos_NO,Votos_Válidos,Votos_no_marcados,Votos_nulos,Porc_Mesas_Inscritas,Porc_Abstensionismo
NARIÑO,http://plebiscito.registraduria.gov.co/99PL/DPL23ZZZZZZZZZZZZZZZ_L1.htm,100.0,2875.0,2875.0,36.72,399043.0,1086472.0,64.81,251047.0,35.18,136283.0,387330.0,4934.0,6779.0,1.0,0.6327167198050203
NORTE DE SAN,http://plebiscito.registraduria.gov.co/99PL/DPL25ZZZZZZZZZZZZZZZ_L1.htm,100.0,2666.0,2666.0,40.3,451080.0,1119130.0,36.07,159255.0,63.92,282183.0,441438.0,2927.0,6715.0,1.0,0.5969369063468944
PUTUMAYO,http://plebiscito.registraduria.gov.co/99PL/DPL64ZZZZZZZZZZZZZZZ_L1.htm,100.0,522.0,522.0,32.94,70090.0,212761.0,65.5,44643.0,34.49,23505.0,68148.0,782.0,1160.0,1.0,0.6705693242652554
QUINDIO,http://plebiscito.registraduria.gov.co/99PL/DPL26ZZZZZZZZZZZZZZZ_L1.htm,100.0,1068.0,1068.0,41.32,188424.0,455967.0,39.86,73393.0,60.13,110708.0,184101.0,1784.0,2539.0,1.0,0.5867595681266408
RISARALDA,http://plebiscito.registraduria.gov.co/99PL/DPL24ZZZZZZZZZZZZZZZ_L1.htm,100.0,1740.0,1740.0,41.38,314673.0,760280.0,44.3,136208.0,55.69,171230.0,307438.0,2201.0,5034.0,1.0,0.5861090650812859
SAN ANDRES,http://plebiscito.registraduria.gov.co/99PL/DPL56ZZZZZZZZZZZZZZZ_L1.htm,100.0,108.0,108.0,20.2,9676.0,47881.0,55.01,5275.0,44.98,4313.0,9588.0,52.0,36.0,1.0,0.7979156659217643
SANTANDER,http://plebiscito.registraduria.gov.co/99PL/DPL27ZZZZZZZZZZZZZZZ_L1.htm,100.0,4064.0,4064.0,43.67,714669.0,1636329.0,44.35,310555.0,55.64,389598.0,700153.0,4086.0,10430.0,1.0,0.5632485887617955
SUCRE,http://plebiscito.registraduria.gov.co/99PL/DPL28ZZZZZZZZZZZZZZZ_L1.htm,100.0,1633.0,1633.0,34.36,227394.0,661747.0,61.88,137817.0,38.11,84887.0,222704.0,2241.0,2449.0,1.0,0.6563732060742247
TOLIMA,http://plebiscito.registraduria.gov.co/99PL/DPL29ZZZZZZZZZZZZZZZ_L1.htm,100.0,2483.0,2483.0,39.99,416428.0,1041264.0,40.28,164061.0,59.71,243150.0,407211.0,3056.0,6161.0,1.0,0.6000745248083099
VALLE,http://plebiscito.registraduria.gov.co/99PL/DPL31ZZZZZZZZZZZZZZZ_L1.htm,100.0,7928.0,7928.0,36.12,1228878.0,3401889.0,52.44,633329.0,47.55,574237.0,1207566.0,6783.0,14529.0,1.0,0.6387659914829673
VAUPES,http://plebiscito.registraduria.gov.co/99PL/DPL68ZZZZZZZZZZZZZZZ_L1.htm,100.0,57.0,57.0,23.74,4962.0,20898.0,78.05,3796.0,21.94,1067.0,4863.0,58.0,41.0,1.0,0.7625610106230261
VICHADA,http://plebiscito.registraduria.gov.co/99PL/DPL72ZZZZZZZZZZZZZZZ_L1.htm,100.0,122.0,122.0,26.24,12371.0,47133.0,50.66,6139.0,49.33,5977.0,12116.0,95.0,160.0,1.0,0.7375299683873295
