MUNICIPIO,DEPARTAMENTO,URL MUNICIPIO,URL DEPARTAMENTO,PORCENTAJE ESCRUTADO,NÚMERO DE MESAS INSTALADAS,TOTAL MESAS,PORCENTAJE VOTACIÓN,NÚMERO DE VOTOS,NÚMERO PERSONAS HÁBILES PARA VOTAR,PORCENTAJE SÍ,VOTOS SÍ,PORCENTAJE NO,VOTOS NO,VOTOS VÁLIDOS,VOTOS NO MARCADOS,VOTOS NULOS,PORCENTAJE MESAS INSCRITAS,PORCENTAJE ABSTENCIONISMO
BUENAVISTA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07031ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,13,13,31.92,1460,4573,43.81,616,56.18,790,1406,25,29,1,0.6807347474
BUSBANZA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07034ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,2,2,46.59,370,794,48.73,174,51.26,183,357,6,7,1,0.5340050378
CALDAS,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07037ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,9,9,34.74,1139,3278,58.96,651,41.03,453,1104,11,24,1,0.6525320317
CAMPOHERMOSO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07040ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,38.95,977,2508,53.99,507,46,432,939,15,23,1,0.610446571
CERINZA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07043ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,8,8,46.75,1628,3482,61.76,961,38.23,595,1556,18,54,1,0.5324526134
CHINAVITA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07064ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,8,8,30.08,942,3131,45.86,421,54.13,497,918,7,17,1,0.6991376557
CHIQUINQUIRA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07067ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,98,98,41.86,17119,40893,48.47,8110,51.52,8619,16729,87,303,1,0.5813708948
CHIQUIZA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07068ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,10,10,21.06,912,4330,61.93,537,38.06,330,867,18,27,1,0.7893764434
CHISCAS,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07070ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,10,10,39.92,1405,3519,50.52,672,49.47,658,1330,35,40,1,0.6007388463
CHITA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07073ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,19,19,36.62,2319,6331,39.95,861,60.04,1294,2155,89,75,1,0.6337071553
CHITARAQUE,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07076ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,14,14,30.37,1654,5445,40.09,644,59.9,962,1606,29,19,1,0.6962350781
CHIVATA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07077ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,6,6,36.58,930,2542,52.07,477,47.92,439,916,7,7,1,0.6341463415
CHIVOR,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07078ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,5,5,37.08,656,1769,40.75,260,59.24,378,638,10,8,1,0.629169022
CIENEGA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07046ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,9,9,31.84,1233,3872,45.32,543,54.67,655,1198,19,16,1,0.6815599174
COMBITA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07049ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,22,22,42.55,3653,8585,58.9,2081,41.09,1452,3533,34,86,1,0.5744903902
COPER,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07052ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,10,10,40.63,1332,3278,59.92,779,40.07,521,1300,13,19,1,0.5936546675
CORRALES,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07055ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,6,6,42.86,955,2228,44.39,408,55.6,511,919,14,22,1,0.5713644524
COVARACHIA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07058ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,9,9,34.47,1080,3133,38.62,394,61.37,626,1020,44,16,1,0.6552824769
CUBARA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07059ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,16,16,26.78,1469,5484,56.67,781,43.32,597,1378,23,68,1,0.7321298322
CUCAITA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07060ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,8,8,39.67,1264,3186,55.7,683,44.29,543,1226,8,30,1,0.6032642812
CUITIVA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07061ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,5,5,35.27,653,1851,42.56,269,57.43,363,632,2,19,1,0.6472177202
DUITAMA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07079ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,189,189,49.44,41211,83354,48.44,19535,51.55,20787,40322,119,770,1,0.5055906135
EL COCUY,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07082ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,10,10,34.49,1282,3716,31.06,374,68.93,830,1204,30,48,1,0.6550053821
EL ESPINO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07085ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,6,6,43.32,997,2301,35.09,339,64.9,627,966,11,20,1,0.566710126
FIRAVITOBA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07088ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,14,14,37.48,2129,5680,63.46,1317,36.53,758,2075,17,37,1,0.6251760563
FLORESTA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07091ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,43.98,1354,3078,39.74,527,60.25,799,1326,8,20,1,0.5601039636
GACHANTIVA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07094ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,44.43,1342,3020,47.8,621,52.19,678,1299,19,24,1,0.5556291391
GAMEZA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07097ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,10,10,36.76,1491,4056,42.94,621,57.05,825,1446,22,23,1,0.6323964497
GARAGOA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07100ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,29,29,43.68,5174,11845,50.48,2534,49.51,2485,5019,36,119,1,0.5631912199
GUACAMAYAS,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07103ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,4,4,38.1,631,1656,20.29,122,79.7,479,601,11,19,1,0.6189613527
GUATEQUE,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07106ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,22,22,38.2,3421,8954,51.79,1718,48.2,1599,3317,24,80,1,0.6179361179
GUAYATA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07109ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,9,9,39.75,1530,3849,57.63,861,42.36,633,1494,14,22,1,0.6024941543
GUICAN,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07112ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,10,10,39.69,1204,3033,48.43,556,51.56,592,1148,14,42,1,0.6030333004
IZA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07118ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,6,6,38.53,857,2224,44.11,367,55.88,465,832,12,13,1,0.6146582734
JENESANO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07121ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,13,13,30.61,1673,5464,63.83,1031,36.16,584,1615,25,33,1,0.6938140556
JERICO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07124ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,9,9,30.26,974,3218,38.64,359,61.35,570,929,22,23,1,0.6973275326
LA CAPILLA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07130ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,6,6,41.61,1072,2576,51.57,525,48.42,493,1018,26,28,1,0.5838509317
LA UVITA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07136ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,8,8,36.77,933,2537,31.95,287,68.04,611,898,16,19,1,0.6322428065
LA VICTORIA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07137ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,5,5,37.87,573,1513,75.4,417,24.59,136,553,11,9,1,0.6212822208
LABRANZAGRANDE,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07127ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,36.84,1003,2722,45.63,444,54.36,529,973,13,17,1,0.6315209405
MACANAL,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07142ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,9,9,34.27,1235,3603,38.92,464,61.07,728,1192,19,24,1,0.657230086
MARIPI,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07148ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,17,17,29.83,1871,6271,74.91,1371,25.08,459,1830,16,25,1,0.7016424813
MIRAFLORES,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07151ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,18,18,48.73,3688,7568,65.39,2330,34.6,1233,3563,44,81,1,0.5126849894
MONGUA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07154ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,10,10,42.11,1686,4003,23.98,397,76.01,1258,1655,6,25,1,0.5788158881
MONGUI,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07157ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,9,9,39.36,1434,3643,37.85,530,62.14,870,1400,5,29,1,0.6063683777
MONIQUIRA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07160ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,42,42,37.19,6492,17452,51.92,3257,48.07,3016,6273,57,162,1,0.6280082512
MOTAVITA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07161ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,12,12,37.38,1846,4938,53.32,955,46.67,836,1791,14,41,1,0.626164439
MUZO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07163ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,17,17,33.63,2420,7195,36.85,858,63.14,1470,2328,37,55,1,0.6636553162
NOBSA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07166ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,27,27,49.72,5741,11546,50.23,2835,49.76,2809,5644,11,86,1,0.5027715226
NUEVO COLON,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07169ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,11,11,38.93,1794,4608,63.95,1107,36.04,624,1731,17,46,1,0.6106770833
OICATA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07173ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,6,6,47.44,1135,2392,55.15,605,44.84,492,1097,8,30,1,0.5255016722
OTANCHE,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07176ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,22,22,36.98,2369,6406,44.04,1021,55.95,1297,2318,23,28,1,0.6301904465
PACHAVITA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07178ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,5,5,38.93,779,2001,49.73,370,50.26,374,744,20,15,1,0.6106946527
PAEZ,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07179ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,52.52,1228,2338,47.65,558,52.34,613,1171,14,43,1,0.4747647562
PAIPA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07181ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,59,59,46.09,11312,24543,55.97,6187,44.02,4866,11053,59,200,1,0.5390946502
PAJARITO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07184ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,5,5,37.94,650,1713,36.96,234,63.03,399,633,8,9,1,0.6205487449
PANQUEBA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07187ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,4,4,40.43,649,1605,45.96,285,54.03,335,620,14,15,1,0.5956386293
PAUNA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07190ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,17,17,35.77,2401,6712,65.47,1521,34.52,802,2323,37,41,1,0.6422824791
PAYA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07193ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,5,5,52.41,737,1406,45.51,320,54.48,383,703,8,26,1,0.4758179232
PAZ DE RIO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07199ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,11,11,39.81,1741,4373,66.4,1119,33.59,566,1685,18,38,1,0.6018751429
PESCA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07202ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,16,16,28.34,1819,6418,40.09,710,59.9,1061,1771,15,33,1,0.7165783733
PISBA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07205ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,3,3,45.34,463,1021,43.23,195,56.76,256,451,9,3,1,0.5465230167
PUERTO BOYACA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07214ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,88,88,40.72,14347,35230,30.76,4270,69.23,9611,13881,127,339,1,0.5927618507
QUIPAMA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07215ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,15,15,35.87,1768,4928,37.4,637,62.59,1066,1703,33,32,1,0.6412337662
RAMIRIQUI,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07217ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,21,21,32.42,2789,8601,53.64,1466,46.35,1267,2733,22,34,1,0.6757353796
RAQUIRA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07220ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,12,12,37.85,1730,4570,48.91,815,51.08,851,1666,20,44,1,0.6214442013
RONDON,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07223ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,40.69,929,2283,52.4,469,47.59,426,895,17,17,1,0.5930792816
SABOYA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07226ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,24,24,38.34,3664,9555,64.24,2246,35.75,1250,3496,56,112,1,0.6165358451
SACHICA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07232ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,8,8,40.66,1350,3320,52.94,702,47.05,624,1326,11,13,1,0.593373494
SAMACA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07235ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,31,31,36.17,4849,13405,50.03,2343,49.96,2340,4683,36,130,1,0.6382693025
SAN EDUARDO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07237ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,4,4,48.59,711,1463,63.91,434,36.08,245,679,10,22,1,0.5140123035
SAN JOSE DE PARE,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07238ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,14,14,34.71,1838,5295,52.84,946,47.15,844,1790,28,20,1,0.6528800755
SAN LUIS DE GACENO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07241ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,14,14,39.63,1779,4488,36.11,628,63.88,1111,1739,18,22,1,0.6036096257
SAN MATEO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07247ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,9,9,31.54,1147,3636,33.82,368,66.17,720,1088,29,30,1,0.6845434543
SAN MIGUEL DE SEMA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07248ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,39.89,1101,2760,48.25,513,51.74,550,1063,17,21,1,0.6010869565
SAN PABLO DE BORBUR,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07249ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,16,16,32.53,1890,5810,31.91,584,68.08,1246,1830,31,29,1,0.6746987952
SANTA MARIA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07251ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,9,9,34.36,1137,3309,39.76,433,60.23,656,1089,18,30,1,0.6563916591
SANTA ROSA DE VITERBO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07253ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,20,20,46.31,3726,8045,42.82,1553,57.17,2073,3626,28,72,1,0.5368551896
SANTA SOFIA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07256ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,35.33,1084,3068,61.89,648,38.1,399,1047,16,21,1,0.6466753585
SANTANA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07250ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,16,16,32.17,2198,6831,51.68,1106,48.31,1034,2140,24,34,1,0.6782315913
SATIVANORTE,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07259ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,32.23,773,2398,50.74,373,49.25,362,735,15,23,1,0.67764804
SATIVASUR,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07262ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,3,3,30.72,377,1227,53.09,197,46.9,174,371,2,4,1,0.6927465363
SIACHOQUE,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07265ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,15,15,36.92,2310,6256,34.87,778,65.12,1453,2231,25,54,1,0.6307544757
SOATA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07268ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,17,17,47.56,3543,7449,42.34,1461,57.65,1989,3450,37,56,1,0.5243656867
SOCHA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07274ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,16,16,38.93,2395,6151,49.52,1138,50.47,1160,2298,33,64,1,0.6106324175
SOCOTA,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07271ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,17,17,35.52,2104,5922,39.45,791,60.54,1214,2005,39,60,1,0.6447146234
SOGAMOSO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07277ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,198,198,46.92,41974,89443,49.26,20261,50.73,20865,41126,148,700,1,0.5307178874
SOMONDOCO,BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07280ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,32.2,895,2779,60.59,529,39.4,344,873,8,14,1,0.6779417056
