MUNICIPIO,DEPARTAMENTO,URL MUNICIPIO,URL DEPARTAMENTO,PORCENTAJE ESCRUTADO,NÚMERO DE MESAS INSTALADAS,TOTAL MESAS,PORCENTAJE VOTACIÓN,NÚMERO DE VOTOS,NÚMERO PERSONAS HÁBILES PARA VOTAR,PORCENTAJE SÍ,VOTOS SÍ,PORCENTAJE NO,VOTOS NO,VOTOS VÁLIDOS,VOTOS NO MARCADOS,VOTOS NULOS,PORCENTAJE MESAS INSCRITAS,PORCENTAJE ABSTENCIONISMO
HISPANIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01150ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,13,13,21.88,1142,5219,41.23,459,58.76,654,1113,18,11,1,0.7811841349
ITAGUI,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01151ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,527,527,39.3,96563,245703,37.09,35166,62.9,59627,94793,426,1344,1,0.6069929956
ITUANGO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01154ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,97.95,48,49,23.88,4157,17406,69.34,2706,30.65,1196,3902,139,116,0.9795918367,0.7611743077
JARDIN,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01157ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,28,28,37.98,4594,12094,35.96,1620,64.03,2884,4504,46,44,1,0.6201422193
JERICO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01160ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,27,27,30.59,3373,11023,29.01,957,70.98,2341,3298,36,39,1,0.6940034473
LA CEJA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01163ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,97,97,51.46,22800,44306,30.1,6715,69.89,15589,22304,171,325,1,0.4853970117
LA ESTRELLA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01166ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,108,108,36.93,18723,50695,36.46,6725,63.53,11716,18441,88,194,1,0.6306736365
LA PINTADA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01170ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,15,15,37.32,2459,6588,42.26,1017,57.73,1389,2406,22,31,1,0.6267455981
LA UNION,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01169ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,38,38,46.42,7529,16219,34.78,2551,65.21,4782,7333,60,136,1,0.5357913558
LIBORINA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01172ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,24,24,29.36,2703,9204,35.78,933,64.21,1674,2607,56,40,1,0.7063233377
MACEO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01175ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,19,19,25.43,1899,7467,42.18,777,57.81,1065,1842,31,26,1,0.7456809964
MARINILLA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01178ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,76,76,46.53,17767,38176,31.36,5481,68.63,11993,17474,103,190,1,0.5346028919
MEDELLIN,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01001ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,3346,3346,46.06,694784,1508418,37.02,253548,62.97,431173,684721,3309,6754,1,0.5393955787
MONTEBELLO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01181ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,15,15,30.23,1827,6043,55.11,953,44.88,776,1729,63,35,1,0.6976667218
MURINDO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01184ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,9,9,42.21,1150,2724,96.06,1073,3.93,44,1117,19,14,1,0.5778267254
MUTATA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01187ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,33,33,22.23,3030,13626,64.5,1846,35.49,1016,2862,119,49,1,0.7776309996
NARIÑO,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01190ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,25,25,27.87,2513,9015,32.58,786,67.41,1626,2412,70,31,1,0.7212423738
