CONSOLIDADO,URL CONSOLIDADO,PORCENTAJE ESCRUTADO,NÚMERO DE MESAS INSTALADAS,TOTAL MESAS,PORCENTAJE VOTACIÓN,NÚMERO DE VOTOS,NÚMERO PERSONAS HÁBILES PARA VOTAR,PORCENTAJE SÍ,VOTOS SÍ,PORCENTAJE NO,VOTOS NO,VOTOS VÁLIDOS,VOTOS NO MARCADOS,VOTOS NULOS,PORCENTAJE MESAS INSCRITAS,PORCENTAJE ABSTENCIONISMO
NACIONAL,http://plebiscito.registraduria.gov.co/99PL/DPLZZZZZZZZZZZZZZZZZ_L1.htm,99.98,81916,81928,37.43,13066047,34899945,49.78,6377482,50.21,6431376,12808858,86243,170946,0.9998535299,0.6256141091
CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,99.34,1363,1372,13.85,82996,599026,54.13,44801,45.86,37955,82756,82,158,0.9934402332,0.8614484179
